,year,value,metrics,classe
257,2010,0.0,Accuracy User,Bareland and Impervious
258,2010,0.18,Accuracy User,Rock Outcrop
259,2010,0.91,Accuracy User,Water
260,2011,0.94,Accuracy User,Forest
261,2011,0.11,Accuracy User,Shrubland
262,2011,0.44,Accuracy User,Flooded Forest
263,2011,0.62,Accuracy User,Wetland
264,2011,0.55,Accuracy User,Natural Grassland
265,2011,0.83,Accuracy User,Pastureland
266,2011,0.61,Accuracy User,Cropland
267,2011,0.0,Accuracy User,Bareland and Impervious
268,2011,0.18,Accuracy User,Rock Outcrop
269,2011,0.91,Accuracy User,Water
270,2012,0.94,Accuracy User,Forest
271,2012,0.12,Accuracy User,Shrubland
272,2012,0.44,Accuracy User,Flooded Forest
273,2012,0.55,Accuracy User,Wetland
274,2012,0.58,Accuracy User,Natural Grassland
275,2012,0.84,Accuracy User,Pastureland
276,2012,0.64,Accuracy User,Cropland
277,2012,0.0,Accuracy User,Bareland and Impervious
278,2012,0.18,Accuracy User,Rock Outcrop
279,2012,0.92,Accuracy User,Water
280,2013,0.94,Accuracy User,Forest
281,2013,0.15,Accuracy User,Shrubland
282,2013,0.44,Accuracy User,Flooded Forest
283,2013,0.57,Accuracy User,Wetland
284,2013,0.63,Accuracy User,Natural Grassland
285,2013,0.83,Accuracy User,Pastureland
286,2013,0.67,Accuracy User,Cropland
287,2013,0.0,Accuracy User,Bareland and Impervious
288,2013,0.18,Accuracy User,Rock Outcrop
289,2013,0.92,Accuracy User,Water
290,2014,0.94,Accuracy User,Forest
291,2014,0.15,Accuracy User,Shrubland
292,2014,0.44,Accuracy User,Flooded Forest
293,2014,0.56,Accuracy User,Wetland
294,2014,0.64,Accuracy User,Natural Grassland
295,2014,0.83,Accuracy User,Pastureland
296,2014,0.68,Accuracy User,Cropland
297,2014,0.0,Accuracy User,Bareland and Impervious
298,2014,0.18,Accuracy User,Rock Outcrop
299,2014,0.9,Accuracy User,Water
300,2015,0.94,Accuracy User,Forest
301,2015,0.14,Accuracy User,Shrubland
302,2015,0.45,Accuracy User,Flooded Forest
303,2015,0.55,Accuracy User,Wetland
304,2015,0.66,Accuracy User,Natural Grassland
305,2015,0.84,Accuracy User,Pastureland
306,2015,0.68,Accuracy User,Cropland
307,2015,0.0,Accuracy User,Bareland and Impervious
308,2015,0.18,Accuracy User,Rock Outcrop
309,2015,0.91,Accuracy User,Water
310,2016,0.94,Accuracy User,Forest
311,2016,0.14,Accuracy User,Shrubland
312,2016,0.45,Accuracy User,Flooded Forest
313,2016,0.56,Accuracy User,Wetland
314,2016,0.67,Accuracy User,Natural Grassland
315,2016,0.84,Accuracy User,Pastureland
316,2016,0.67,Accuracy User,Cropland
317,2016,0.0,Accuracy User,Bareland and Impervious
318,2016,0.18,Accuracy User,Rock Outcrop
