,year,value,metrics,classe
265,1985,0.85,Accuracy Producer,Water
266,1986,0.97,Accuracy Producer,Forest
267,1986,0.33,Accuracy Producer,Shrubland
268,1986,0.24,Accuracy Producer,Wetland
269,1986,0.61,Accuracy Producer,Natural Grassland
270,1986,0.86,Accuracy Producer,Pastureland
271,1986,0.29,Accuracy Producer,Cropland
272,1986,0.82,Accuracy Producer,Water
273,1987,0.97,Accuracy Producer,Forest
274,1987,0.31,Accuracy Producer,Shrubland
275,1987,0.21,Accuracy Producer,Wetland
276,1987,0.61,Accuracy Producer,Natural Grassland
277,1987,0.9,Accuracy Producer,Pastureland
278,1987,0.4,Accuracy Producer,Cropland
279,1987,0.82,Accuracy Producer,Water
280,1988,0.97,Accuracy Producer,Forest
281,1988,0.33,Accuracy Producer,Shrubland
282,1988,0.22,Accuracy Producer,Wetland
283,1988,0.61,Accuracy Producer,Natural Grassland
284,1988,0.89,Accuracy Producer,Pastureland
285,1988,0.33,Accuracy Producer,Cropland
286,1988,0.83,Accuracy Producer,Water
287,1989,0.97,Accuracy Producer,Forest
288,1989,0.33,Accuracy Producer,Shrubland
289,1989,0.22,Accuracy Producer,Wetland
290,1989,0.61,Accuracy Producer,Natural Grassland
291,1989,0.89,Accuracy Producer,Pastureland
292,1989,0.4,Accuracy Producer,Cropland
293,1989,0.83,Accuracy Producer,Water
294,1990,0.96,Accuracy Producer,Forest
295,1990,0.34,Accuracy Producer,Shrubland
296,1990,0.22,Accuracy Producer,Wetland
297,1990,0.62,Accuracy Producer,Natural Grassland
298,1990,0.9,Accuracy Producer,Pastureland
299,1990,0.5,Accuracy Producer,Cropland
300,1990,0.82,Accuracy Producer,Water
301,1991,0.97,Accuracy Producer,Forest
302,1991,0.34,Accuracy Producer,Shrubland
303,1991,0.22,Accuracy Producer,Wetland
304,1991,0.61,Accuracy Producer,Natural Grassland
305,1991,0.91,Accuracy Producer,Pastureland
306,1991,0.33,Accuracy Producer,Cropland
307,1991,0.78,Accuracy Producer,Water
308,1992,0.97,Accuracy Producer,Forest
309,1992,0.32,Accuracy Producer,Shrubland
310,1992,0.21,Accuracy Producer,Wetland
311,1992,0.62,Accuracy Producer,Natural Grassland
312,1992,0.89,Accuracy Producer,Pastureland
313,1992,0.4,Accuracy Producer,Cropland
314,1992,0.79,Accuracy Producer,Water
315,1993,0.97,Accuracy Producer,Forest
316,1993,0.32,Accuracy Producer,Shrubland
317,1993,0.21,Accuracy Producer,Wetland
318,1993,0.62,Accuracy Producer,Natural Grassland
319,1993,0.91,Accuracy Producer,Pastureland
320,1993,0.67,Accuracy Producer,Cropland
321,1993,0.79,Accuracy Producer,Water
322,1994,0.96,Accuracy Producer,Forest
323,1994,0.33,Accuracy Producer,Shrubland
324,1994,0.21,Accuracy Producer,Wetland
325,1994,0.6,Accuracy Producer,Natural Grassland
326,1994,0.92,Accuracy Producer,Pastureland
327,1994,0.25,Accuracy Producer,Cropland
328,1994,0.82,Accuracy Producer,Water
329,1995,0.97,Accuracy Producer,Forest
330,1995,0.33,Accuracy Producer,Shrubland
331,1995,0.2,Accuracy Producer,Wetland
332,1995,0.61,Accuracy Producer,Natural Grassland
333,1995,0.92,Accuracy Producer,Pastureland
334,1995,0.17,Accuracy Producer,Cropland
335,1995,0.81,Accuracy Producer,Water
336,1996,0.97,Accuracy Producer,Forest
337,1996,0.32,Accuracy Producer,Shrubland
338,1996,0.2,Accuracy Producer,Wetland
339,1996,0.61,Accuracy Producer,Natural Grassland
340,1996,0.92,Accuracy Producer,Pastureland
341,1996,0.6,Accuracy Producer,Cropland
342,1996,0.77,Accuracy Producer,Water
343,1997,0.97,Accuracy Producer,Forest
344,1997,0.32,Accuracy Producer,Shrubland
345,1997,0.21,Accuracy Producer,Wetland
346,1997,0.61,Accuracy Producer,Natural Grassland
347,1997,0.93,Accuracy Producer,Pastureland
348,1997,0.67,Accuracy Producer,Cropland
349,1997,0.78,Accuracy Producer,Water
350,1998,0.97,Accuracy Producer,Forest
351,1998,0.35,Accuracy Producer,Shrubland
352,1998,0.2,Accuracy Producer,Wetland
353,1998,0.6,Accuracy Producer,Natural Grassland
354,1998,0.92,Accuracy Producer,Pastureland
355,1998,0.62,Accuracy Producer,Cropland
356,1998,0.81,Accuracy Producer,Water
357,1999,0.97,Accuracy Producer,Forest
358,1999,0.36,Accuracy Producer,Shrubland
359,1999,0.2,Accuracy Producer,Wetland
360,1999,0.6,Accuracy Producer,Natural Grassland
361,1999,0.91,Accuracy Producer,Pastureland
362,1999,0.68,Accuracy Producer,Cropland
363,1999,0.77,Accuracy Producer,Water
364,2000,0.97,Accuracy Producer,Forest
365,2000,0.35,Accuracy Producer,Shrubland
366,2000,0.22,Accuracy Producer,Wetland
367,2000,0.6,Accuracy Producer,Natural Grassland
368,2000,0.91,Accuracy Producer,Pastureland
369,2000,0.68,Accuracy Producer,Cropland
370,2000,0.87,Accuracy Producer,Water
371,2001,0.97,Accuracy Producer,Forest
372,2001,0.35,Accuracy Producer,Shrubland
373,2001,0.23,Accuracy Producer,Wetland
374,2001,0.6,Accuracy Producer,Natural Grassland
375,2001,0.91,Accuracy Producer,Pastureland
376,2001,0.76,Accuracy Producer,Cropland
377,2001,0.87,Accuracy Producer,Water
378,2002,0.97,Accuracy Producer,Forest
379,2002,0.34,Accuracy Producer,Shrubland
380,2002,0.24,Accuracy Producer,Wetland
381,2002,0.61,Accuracy Producer,Natural Grassland
382,2002,0.92,Accuracy Producer,Pastureland
383,2002,0.77,Accuracy Producer,Cropland
384,2002,0.88,Accuracy Producer,Water
385,2003,0.97,Accuracy Producer,Forest
386,2003,0.36,Accuracy Producer,Shrubland
387,2003,0.24,Accuracy Producer,Wetland
388,2003,0.6,Accuracy Producer,Natural Grassland
389,2003,0.92,Accuracy Producer,Pastureland
390,2003,0.64,Accuracy Producer,Cropland
391,2003,0.91,Accuracy Producer,Water
392,2004,0.97,Accuracy Producer,Forest
393,2004,0.36,Accuracy Producer,Shrubland
394,2004,0.24,Accuracy Producer,Wetland
395,2004,0.61,Accuracy Producer,Natural Grassland
396,2004,0.92,Accuracy Producer,Pastureland
397,2004,0.6,Accuracy Producer,Cropland
398,2004,0.89,Accuracy Producer,Water
399,2005,0.97,Accuracy Producer,Forest
400,2005,0.33,Accuracy Producer,Shrubland
401,2005,0.24,Accuracy Producer,Wetland
402,2005,0.61,Accuracy Producer,Natural Grassland
403,2005,0.93,Accuracy Producer,Pastureland
404,2005,0.68,Accuracy Producer,Cropland
405,2005,0.89,Accuracy Producer,Water
406,2006,0.97,Accuracy Producer,Forest
407,2006,0.33,Accuracy Producer,Shrubland
408,2006,0.23,Accuracy Producer,Wetland
409,2006,0.6,Accuracy Producer,Natural Grassland
410,2006,0.93,Accuracy Producer,Pastureland
411,2006,0.72,Accuracy Producer,Cropland
412,2006,0.89,Accuracy Producer,Water
413,2007,0.97,Accuracy Producer,Forest
414,2007,0.37,Accuracy Producer,Shrubland
415,2007,0.23,Accuracy Producer,Wetland
416,2007,0.61,Accuracy Producer,Natural Grassland
417,2007,0.93,Accuracy Producer,Pastureland
418,2007,0.77,Accuracy Producer,Cropland
419,2007,0.87,Accuracy Producer,Water
420,2008,0.97,Accuracy Producer,Forest
421,2008,0.38,Accuracy Producer,Shrubland
422,2008,0.23,Accuracy Producer,Wetland
423,2008,0.6,Accuracy Producer,Natural Grassland
424,2008,0.93,Accuracy Producer,Pastureland
425,2008,0.76,Accuracy Producer,Cropland
426,2008,0.88,Accuracy Producer,Water
427,2009,0.97,Accuracy Producer,Forest
428,2009,0.37,Accuracy Producer,Shrubland
429,2009,0.24,Accuracy Producer,Wetland
430,2009,0.61,Accuracy Producer,Natural Grassland
431,2009,0.93,Accuracy Producer,Pastureland
432,2009,0.78,Accuracy Producer,Cropland
433,2009,0.86,Accuracy Producer,Water
434,2010,0.97,Accuracy Producer,Forest
435,2010,0.35,Accuracy Producer,Shrubland
436,2010,0.23,Accuracy Producer,Wetland
437,2010,0.59,Accuracy Producer,Natural Grassland
438,2010,0.92,Accuracy Producer,Pastureland
439,2010,0.77,Accuracy Producer,Cropland
440,2010,0.89,Accuracy Producer,Water
441,2011,0.97,Accuracy Producer,Forest
442,2011,0.37,Accuracy Producer,Shrubland
443,2011,0.23,Accuracy Producer,Wetland
444,2011,0.59,Accuracy Producer,Natural Grassland
445,2011,0.93,Accuracy Producer,Pastureland
446,2011,0.77,Accuracy Producer,Cropland
447,2011,0.88,Accuracy Producer,Water
448,2012,0.97,Accuracy Producer,Forest
449,2012,0.34,Accuracy Producer,Shrubland
450,2012,0.23,Accuracy Producer,Wetland
451,2012,0.59,Accuracy Producer,Natural Grassland
452,2012,0.93,Accuracy Producer,Pastureland
453,2012,0.8,Accuracy Producer,Cropland
454,2012,0.89,Accuracy Producer,Water
455,2013,0.97,Accuracy Producer,Forest
456,2013,0.38,Accuracy Producer,Shrubland
457,2013,0.26,Accuracy Producer,Wetland
458,2013,0.61,Accuracy Producer,Natural Grassland
459,2013,0.92,Accuracy Producer,Pastureland
460,2013,0.8,Accuracy Producer,Cropland
461,2013,0.9,Accuracy Producer,Water
462,2014,0.97,Accuracy Producer,Forest
463,2014,0.37,Accuracy Producer,Shrubland
464,2014,0.27,Accuracy Producer,Wetland
465,2014,0.6,Accuracy Producer,Natural Grassland
466,2014,0.92,Accuracy Producer,Pastureland
467,2014,0.84,Accuracy Producer,Cropland
468,2014,0.91,Accuracy Producer,Water
469,2015,0.97,Accuracy Producer,Forest
470,2015,0.36,Accuracy Producer,Shrubland
471,2015,0.27,Accuracy Producer,Wetland
472,2015,0.6,Accuracy Producer,Natural Grassland
473,2015,0.92,Accuracy Producer,Pastureland
474,2015,0.84,Accuracy Producer,Cropland
475,2015,0.93,Accuracy Producer,Water
476,2016,0.97,Accuracy Producer,Forest
477,2016,0.35,Accuracy Producer,Shrubland
478,2016,0.28,Accuracy Producer,Wetland
479,2016,0.6,Accuracy Producer,Natural Grassland
480,2016,0.92,Accuracy Producer,Pastureland
481,2016,0.85,Accuracy Producer,Cropland
482,2016,0.93,Accuracy Producer,Water
483,2017,0.97,Accuracy Producer,Forest
484,2017,0.35,Accuracy Producer,Shrubland
485,2017,0.29,Accuracy Producer,Wetland
486,2017,0.6,Accuracy Producer,Natural Grassland
487,2017,0.92,Accuracy Producer,Pastureland
488,2017,0.85,Accuracy Producer,Cropland
489,2017,0.93,Accuracy Producer,Water
490,2018,0.97,Accuracy Producer,Forest
491,2018,0.34,Accuracy Producer,Shrubland
492,2018,0.32,Accuracy Producer,Wetland
493,2018,0.59,Accuracy Producer,Natural Grassland
494,2018,0.93,Accuracy Producer,Pastureland
495,2018,0.87,Accuracy Producer,Cropland
496,2018,0.94,Accuracy Producer,Water
497,2019,0.97,Accuracy Producer,Forest
498,2019,0.33,Accuracy Producer,Shrubland
499,2019,0.34,Accuracy Producer,Wetland
500,2019,0.56,Accuracy Producer,Natural Grassland
501,2019,0.88,Accuracy Producer,Pastureland
502,2019,0.86,Accuracy Producer,Cropland
503,2019,0.96,Accuracy Producer,Water
504,2020,0.97,Accuracy Producer,Forest
505,2020,0.31,Accuracy Producer,Shrubland
506,2020,0.33,Accuracy Producer,Wetland
507,2020,0.56,Accuracy Producer,Natural Grassland
508,2020,0.88,Accuracy Producer,Pastureland
509,2020,0.88,Accuracy Producer,Cropland
